id,name,slug,value,product_id
248,video-resolution,video-resolution,5K 30FPS; 4K 30FPS; 2.7K 30FPS ;1080P 120FPS; 1080P 60FPS; 1080P 30FPS;720P 240FPS; 720P 120FPS; 720P 60FPS; 720P 30FPS,26
249,image-sensor,image-sensor,12 megapixel CMOS sensor (up to 48MP interpolation),26
250,display-screen,display-screen,2.8 inches 640 * 480 IPS high-definition,26
251,usb,usb,Type-C USB,26
252,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),26
253,battery-capacity,battery-capacity,1050mAh 3.7V Rechargeable Lithium Battery,26
254,zoom,zoom,16x digital zoom,26
255,language,language,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Italian, Spanish, Portuguese, Russian, Polish, Vietnamese",26
256,accessories-for-camcorder,accessories-for-camcorder,"USB Cable*1, HDMI Cable*1, Lithium Battery*1,Lanyard*1, Glasses Cloth*1, Camera Bag*1, User's Manual*1",26
257,image-resolution,image-resolution,"48M (8000 × 6000); 36M (6880 × 5160); 24M (5600 × 4200);
20M (5120 × 3840);16M (4640 × 3480);12M (4032 × 3024); 
8M (3264 × 2448);5M (2592 × 1944)",27
258,video-resolution,video-resolution,"5K 30FPS; 4K 30FPS;2.7K 30FPS;1080P120FPS; 1080P 60FPS;
1080P 30FPS;720P240FPS;720P 120FPS;720P 60FPS; 720P 30FPS",27
259,image-sensor,image-sensor,12 Megapixel CMOS Sensor (Up to 48MP Interpolation),27
260,display-screen,display-screen,3.5 Inches 16: 9 IPS Screen,27
261,usb,usb,Type-C USB,27
262,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),27
263,language,language,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Italian, Spanish, Portuguese, Russian, Polish, Vietnamese",27
264,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, USB cable*1, HDMI cable*1, Charger*1, Camera Bag*1,
Lithium battery*1, UV Lens*1, Lens Cap*1, Glasses Cloth*1, Lanyard*1
Wide Len*1(Optional)",27
265,image-resolution,image-resolution,"64M(9200×6900); 48M(8000×6000);
44M(7600×5800); 36M(7936×4480);
24M(5600×4200); 20M(5200×3900);
16M(4608×3456); 12M(4000×3000);
10M(3648×2736); 7M-Wide(3648×2048 HD);
5M(2592×1944); 3M(2048×1536);
2M-Wide(1920×1080 HD)",28
266,video-resolution,video-resolution,"4K ULTRA HD -10FPS ；2.7K-30FPS ；
FULL HD-30FPS ；HD-30FPS ； VGA-30FPS",28
267,zoom,zoom,16x digital zoom,28
268,image-sensor,image-sensor,13 megapixel CMOS sensor (up to 64MP interpolation),28
269,display-screen,display-screen,3.0-inch IPS screen，16:9 screen（640*360）,28
271,expanded-memory-card,expanded-memory-card,Expanded memory card,28
272,battery-capacity,battery-capacity,850mA/h 3.7V Rechargeable lithium battery,28
273,language,language,"English , Deutsch , Français, Español , Italiano , Turkce , Pycский , Português , Nederlands ，Simplified Chinese , Traditional Chinese, Japanese ，Polski",28
